iter	Passed	Remaining
0	15	31204
1	29	29764
2	44	29911
3	59	29708
4	72	29100
5	86	28689
6	99	28383
7	113	28301
8	127	28137
9	140	27985
10	154	27866
11	168	27837
12	181	27780
13	195	27718
14	209	27720
15	223	27704
16	236	27631
17	249	27515
18	263	27511
19	277	27477
20	291	27468
21	305	27440
22	318	27387
23	333	27432
24	346	27375
25	359	27327
26	368	26930
27	381	26859
28	395	26857
29	408	26810
30	422	26828
31	435	26798
32	448	26738
33	461	26710
34	475	26683
35	488	26649
36	501	26615
37	515	26624
38	529	26604
39	542	26589
40	556	26574
41	569	26536
42	582	26497
43	595	26475
44	609	26483
45	623	26474
46	636	26453
47	649	26392
48	661	26326
49	670	26152
50	682	26099
51	696	26095
52	709	26071
53	723	26062
54	736	26034
55	749	26008
56	756	25784
57	768	25745
58	782	25731
59	795	25719
60	809	25717
61	822	25702
62	835	25682
63	848	25661
64	860	25629
65	874	25632
66	887	25601
67	899	25567
68	913	25554
69	925	25509
70	938	25491
71	951	25485
72	965	25478
73	978	25471
74	991	25452
75	1003	25413
76	1016	25389
77	1030	25392
78	1043	25379
79	1056	25363
80	1068	25313
81	1081	25296
82	1094	25279
83	1107	25260
84	1121	25266
85	1135	25272
86	1148	25258
87	1161	25226
88	1174	25214
89	1187	25203
90	1200	25178
91	1212	25151
92	1225	25127
93	1238	25115
94	1251	25091
95	1265	25095
96	1279	25109
97	1293	25104
98	1307	25099
99	1321	25116
100	1336	25119
101	1349	25119
102	1364	25128
103	1379	25149
104	1394	25164
105	1408	25158
106	1421	25156
107	1436	25156
108	1449	25146
109	1462	25127
110	1475	25118
111	1489	25113
112	1504	25128
113	1517	25108
114	1530	25089
115	1544	25082
116	1556	25056
117	1569	25031
118	1582	25020
119	1595	25000
120	1608	24984
121	1622	24970
122	1635	24961
123	1649	24955
124	1663	24945
125	1676	24939
126	1690	24927
127	1704	24933
128	1720	24949
129	1733	24940
130	1748	24949
131	1764	24964
132	1779	24975
133	1794	24990
134	1809	24999
135	1831	25096
136	1847	25122
137	1863	25137
138	1877	25143
139	1891	25129
140	1899	25041
141	1911	25012
142	1925	24998
143	1938	24978
144	1950	24953
145	1963	24927
146	1970	24841
147	1983	24823
148	1996	24796
149	2008	24775
150	2021	24750
151	2033	24725
152	2046	24707
153	2059	24684
154	2071	24661
155	2084	24636
156	2096	24615
157	2109	24591
158	2122	24571
159	2135	24557
160	2149	24553
161	2163	24545
162	2177	24537
163	2191	24529
164	2205	24533
165	2220	24531
166	2235	24534
167	2248	24523
168	2262	24515
169	2277	24511
170	2291	24509
171	2305	24501
172	2319	24498
173	2334	24493
174	2349	24497
175	2353	24391
176	2357	24280
177	2370	24269
178	2384	24261
179	2398	24255
180	2412	24245
181	2425	24227
182	2438	24207
